Code,Occupation,Proximity_Rating,Exposure_Rating
29-1141.04,Clinical Nurse Specialists,80,91
47-5081.00,Helpers--Extraction Workers,80,4
33-3021.05,Immigration and Customs Inspectors,80,63
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",80,21
47-5012.00,"Rotary Drill Operators, Oil and Gas",80,7
39-1012.00,Slot Supervisors,80,42
47-2022.00,Stonemasons,80,6
35-3011.00,Bartenders,79,4
25-2021.00,"Elementary School Teachers, Except Special Education",79,46
39-4021.00,Funeral Attendants,79,54
29-2092.00,Hearing Aid Specialists,79,49
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",79,16
53-5022.00,Motorboat Operators,79,8
29-1069.04,Neurologists,79,77
47-2031.02,Rough Carpenters,79,5
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",79,11
33-3051.03,Sheriffs and Deputy Sheriffs,79,77
21-1093.00,Social and Human Service Assistants,79,58
29-1127.00,Speech-Language Pathologists,79,52
53-3041.00,Taxi Drivers and Chauffeurs,79,25
33-3052.00,Transit and Railroad Police,79,56
49-9081.00,Wind Turbine Service Technicians,79,5
39-6011.00,Baggage Porters and Bellhops,78,10
53-3021.00,"Bus Drivers, Transit and Intercity",78,47
25-2023.00,"Career/Technical Education Teachers, Middle School",78,23
33-9091.00,Crossing Guards,78,18
11-9051.00,Food Service Managers,78,10
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,78,28
47-1011.03,Solar Energy Installation Managers,78,9
31-9099.01,Speech-Language Pathology Assistants,78,51
35-3031.00,Waiters and Waitresses,78,16
29-1141.02,Advanced Practice Psychiatric Nurses,77,80
51-3021.00,Butchers and Meat Cutters,77,3
25-2032.00,"Career/Technical Education Teachers, Secondary School",77,31
53-3031.00,Driver/Sales Workers,77,11
33-1012.00,First-Line Supervisors of Police and Detectives,77,57
43-3041.00,Gaming Cage Workers,77,16
47-3012.00,Helpers--Carpenters,77,12
51-8099.04,Hydroelectric Plant Technicians,77,25
31-9093.00,Medical Equipment Preparers,77,92
49-9044.00,Millwrights,77,30
49-9096.00,Riggers,77,15
47-5061.00,"Roof Bolters, Mining",77,26
47-2181.00,Roofers,77,4
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,77,65
41-9041.00,Telemarketers,77,5
25-1031.00,"Architecture Teachers, Postsecondary",76,6
21-1094.00,Community Health Workers,76,53
39-3092.00,Costume Attendants,76,8
33-3031.00,Fish and Game Wardens,76,31
11-9071.00,Gaming Managers,76,17
21-1022.00,Healthcare Social Workers,76,88
37-3011.00,Landscaping and Groundskeeping Workers,76,9
29-2035.00,Magnetic Resonance Imaging Technologists,76,84
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,76,71
43-4051.03,Patient Representatives,76,77
31-9097.00,Phlebotomists,76,88
33-3021.02,Police Identification and Records Officers,76,60
25-2011.00,"Preschool Teachers, Except Special Education",76,52
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",76,23
25-3021.00,Self-Enrichment Education Teachers,76,8
43-3071.00,Tellers,76,34
25-1194.00,"Vocational Education Teachers, Postsecondary",76,17
35-3022.01,Baristas,75,8
41-2011.00,Cashiers,75,28
49-9092.00,Commercial Divers,75,12
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",75,40
47-2111.00,Electricians,75,11
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",74,17
27-2022.00,Coaches and Scouts,74,9
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",74,16
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",74,7
47-4031.00,Fence Erectors,74,9
33-2021.02,Fire Investigators,74,63
33-2011.02,Forest Firefighters,74,44
53-5021.02,"Mates- Ship, Boat, and Barge",74,10
25-2054.00,"Special Education Teachers, Secondary School",74,32
29-1125.01,Art Therapists,73,40
47-2061.00,Construction Laborers,73,10
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",73,3
49-9051.00,Electrical Power-Line Installers and Repairers,73,10
27-1023.00,Floral Designers,73,25
51-3093.00,Food Cooking Machine Operators and Tenders,73,14
33-1021.02,Forest Fire Fighting and Prevention Supervisors,73,23
43-4111.00,"Interviewers, Except Eligibility and Loan",73,23
43-4121.00,"Library Assistants, Clerical",73,34
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",73,1
49-9043.00,"Maintenance Workers, Machinery",73,11
49-9095.00,Manufactured Building and Mobile Home Installers,73,1
49-9011.00,Mechanical Door Repairers,73,7
51-8011.00,Nuclear Power Reactor Operators,73,3
19-1031.03,Park Naturalists,73,17
53-6021.00,Parking Lot Attendants,73,15
47-2072.00,Pile-Driver Operators,73,8
47-2152.01,Pipe Fitters and Steamfitters,73,21
33-3051.01,Police Patrol Officers,73,61
33-9099.02,Retail Loss Prevention Specialists,73,12
49-9097.00,Signal and Track Switch Repairers,73,8
51-3023.00,Slaughterers and Meat Packers,73,18
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",72,13
35-3041.00,"Food Servers, Nonrestaurant",72,39
49-9041.00,Industrial Machinery Mechanics,72,15
29-2011.00,Medical and Clinical Laboratory Technologists,72,96
13-1121.00,"Meeting, Convention, and Event Planners",72,0
39-4031.00,"Morticians, Undertakers, and Funeral Directors",72,79
19-4051.01,Nuclear Equipment Operation Technicians,72,14
29-1051.00,Pharmacists,72,76
39-9032.00,Recreation Workers,72,37
53-5031.00,Ship Engineers,72,16
43-3021.01,Statement Clerks,72,0
39-7011.00,Tour Guides and Escorts,72,19
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,71,5
33-1011.00,First-Line Supervisors of Correctional Officers,71,85
43-5081.02,Marking Clerks,71,16
51-9082.00,Medical Appliance Technicians,71,48
43-6013.00,Medical Secretaries,71,53
51-4061.00,"Model Makers, Metal and Plastic",71,16
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,71,50
53-5021.03,"Pilots, Ship",71,24
33-3021.01,Police Detectives,71,58
27-3012.00,Public Address System and Other Announcers,71,2
41-9022.00,Real Estate Sales Agents,71,4
47-2171.00,Reinforcing Iron and Rebar Workers,71,13
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",71,10
27-2023.00,"Umpires, Referees, and Other Sports Officials",71,11
51-9191.00,Adhesive Bonding Machine Operators and Tenders,70,9
35-2012.00,"Cooks, Institution and Cafeteria",70,43
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",70,0
45-3011.00,Fishers and Related Fishing Workers,70,22
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",70,8
41-2012.00,Gaming Change Persons and Booth Cashiers,70,27
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",70,3
43-4031.03,License Clerks,70,14
13-1041.02,Licensing Examiners and Inspectors,70,51
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",70,54
19-4051.02,Nuclear Monitoring Technicians,70,9
53-7064.00,"Packers and Packagers, Hand",70,5
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",70,17
47-2011.00,Boilermakers,69,15
43-4041.02,Credit Checkers,69,0
29-1031.00,Dietitians and Nutritionists,69,79
51-2031.00,Engine and Other Machine Assemblers,69,0
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",69,19
35-2021.00,Food Preparation Workers,69,6
51-4071.00,Foundry Mold and Coremakers,69,8
47-2121.00,Glaziers,69,18
49-9071.00,"Maintenance and Repair Workers, General",69,44
29-1069.05,Nuclear Medicine Physicians,69,81
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",69,2
41-2031.00,Retail Salespersons,69,19
53-5011.00,Sailors and Marine Oilers,69,19
53-5021.01,Ship and Boat Captains,69,22
27-4014.00,Sound Engineering Technicians,69,7
45-2011.00,Agricultural Inspectors,68,18
53-1011.00,Aircraft Cargo Handling Supervisors,68,10
43-4011.00,Brokerage Clerks,68,1
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",68,4
41-2021.00,Counter and Rental Clerks,68,10
33-3021.03,Criminal Investigators and Special Agents,68,54
19-4092.00,Forensic Science Technicians,68,66
19-4093.00,Forest and Conservation Technicians,68,15
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",68,15
47-4051.00,Highway Maintenance Workers,68,26
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",68,3
39-9011.01,Nannies,68,35
27-4021.00,Photographers,68,4
33-9032.00,Security Guards,68,16
47-2231.00,Solar Photovoltaic Installers,68,2
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,68,63
43-2021.00,Telephone Operators,68,12
47-4099.03,Weatherization Installers and Technicians,68,20
29-1181.00,Audiologists,67,68
41-9011.00,Demonstrators and Product Promoters,67,0
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",67,7
45-4011.00,Forest and Conservation Workers,67,17
47-4041.00,Hazardous Materials Removal Workers,67,18
47-3013.00,Helpers--Electricians,67,12
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",67,45
49-9031.00,Home Appliance Repairers,67,12
