Code,Occupation,Proximity_Rating,Exposure_Rating
25-2051.00,"Special Education Teachers, Preschool",87,52
29-1127.00,Speech-Language Pathologists,79,52
25-2011.00,"Preschool Teachers, Except Special Education",76,52
21-1092.00,Probation Officers and Correctional Treatment Specialists,57,52
37-2012.00,Maids and Housekeeping Cleaners,42,52
31-9099.01,Speech-Language Pathology Assistants,78,51
13-1041.02,Licensing Examiners and Inspectors,70,51
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,71,50
47-4021.00,Elevator Installers and Repairers,64,50
21-1091.00,Health Educators,64,50
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",83,49
29-2092.00,Hearing Aid Specialists,79,49
51-9082.00,Medical Appliance Technicians,71,48
53-3021.00,"Bus Drivers, Transit and Intercity",78,47
15-1121.01,Informatics Nurse Specialists,60,47
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,51,47
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",48,47
25-2021.00,"Elementary School Teachers, Except Special Education",79,46
39-9011.00,Childcare Workers,82,45
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",67,45
33-2011.02,Forest Firefighters,74,44
49-9071.00,"Maintenance and Repair Workers, General",69,44
35-2012.00,"Cooks, Institution and Cafeteria",70,43
53-4041.00,Subway and Streetcar Operators,67,43
39-1012.00,Slot Supervisors,80,42
51-9151.00,Photographic Process Workers and Processing Machine Operators,58,41
29-2081.00,"Opticians, Dispensing",83,40
33-3011.00,Bailiffs,80,40
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",75,40
29-1125.01,Art Therapists,73,40
21-2011.00,Clergy,55,40
35-3041.00,"Food Servers, Nonrestaurant",72,39
19-4021.00,Biological Technicians,51,39
21-1023.00,Mental Health and Substance Abuse Social Workers,50,39
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",64,38
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",56,38
19-3031.03,Counseling Psychologists,47,38
29-9092.00,Genetic Counselors,47,38
19-1029.03,Geneticists,45,38
39-9032.00,Recreation Workers,72,37
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",58,37
21-1021.00,"Child, Family, and School Social Workers",56,37
39-5094.00,Skincare Specialists,99,36
25-9041.00,Teacher Assistants,88,36
47-2151.00,Pipelayers,87,36
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",64,36
21-1014.00,Mental Health Counselors,58,36
33-2022.00,Forest Fire Inspectors and Prevention Specialists,54,36
19-1029.02,Molecular and Cellular Biologists,53,36
31-9011.00,Massage Therapists,89,35
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",86,35
39-9011.01,Nannies,68,35
33-2021.01,Fire Inspectors,60,35
45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,41,35
43-3071.00,Tellers,76,34
43-4121.00,"Library Assistants, Clerical",73,34
49-9052.00,Telecommunications Line Installers and Repairers,64,34
11-9199.07,Security Managers,55,34
23-1023.00,"Judges, Magistrate Judges, and Magistrates",52,34
11-9121.01,Clinical Research Coordinators,46,34
11-9111.00,Medical and Health Services Managers,45,34
49-9062.00,Medical Equipment Repairers,52,33
19-1042.00,"Medical Scientists, Except Epidemiologists",43,33
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",92,32
25-2054.00,"Special Education Teachers, Secondary School",74,32
17-2031.00,Biomedical Engineers,49,32
19-1011.00,Animal Scientists,46,32
25-2032.00,"Career/Technical Education Teachers, Secondary School",77,31
33-3031.00,Fish and Game Wardens,76,31
49-3092.00,Recreational Vehicle Service Technicians,53,31
43-4171.00,Receptionists and Information Clerks,52,31
49-9044.00,Millwrights,77,30
35-9021.00,Dishwashers,63,30
43-2011.00,"Switchboard Operators, Including Answering Service",63,30
21-1013.00,Marriage and Family Therapists,58,30
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",57,30
43-4061.00,"Eligibility Interviewers, Government Programs",56,30
25-1042.00,"Biological Science Teachers, Postsecondary",47,30
27-2042.01,Singers,94,29
39-1021.00,First-Line Supervisors of Personal Service Workers,87,29
51-9083.00,Ophthalmic Laboratory Technicians,63,29
29-9012.00,Occupational Health and Safety Technicians,55,29
25-1071.00,"Health Specialties Teachers, Postsecondary",54,29
19-1012.00,Food Scientists and Technologists,52,29
25-4021.00,Librarians,52,29
43-3021.02,"Billing, Cost, and Rate Clerks",46,29
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43,29
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",83,28
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,78,28
41-2011.00,Cashiers,75,28
43-9061.00,"Office Clerks, General",64,28
53-6061.00,"Transportation Attendants, Except Flight Attendants",93,27
39-5092.00,Manicurists and Pedicurists,90,27
39-3011.00,Gaming Dealers,88,27
41-2012.00,Gaming Change Persons and Booth Cashiers,70,27
53-1021.01,Recycling Coordinators,52,27
51-8031.00,Water and Wastewater Treatment Plant and System Operators,50,27
43-5041.00,"Meter Readers, Utilities",37,27
45-2021.00,Animal Breeders,33,27
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,95,26
47-5061.00,"Roof Bolters, Mining",77,26
47-4051.00,Highway Maintenance Workers,68,26
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",60,26
21-1015.00,Rehabilitation Counselors,60,26
51-8021.00,Stationary Engineers and Boiler Operators,60,26
49-9093.00,"Fabric Menders, Except Garment",58,26
19-4091.00,"Environmental Science and Protection Technicians, Including Health",51,26
37-2021.00,Pest Control Workers,47,26
11-9151.00,Social and Community Service Managers,42,26
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",85,25
39-3091.00,Amusement and Recreation Attendants,84,25
53-2012.00,Commercial Pilots,81,25
53-3041.00,Taxi Drivers and Chauffeurs,79,25
51-8099.04,Hydroelectric Plant Technicians,77,25
27-1023.00,Floral Designers,73,25
13-1041.04,Government Property Inspectors and Investigators,52,25
53-5021.03,"Pilots, Ship",71,24
