Date,Yakima County,Pierce County,Snohomish County,Kittitas County,King County,Franklin County,Chelan County,Grant County,Grays Harbor County,Spokane County,Skagit County,Benton County,Kitsap County,Whatcom County,Island County,Clark County,Thurston County,Cowlitz County,Jefferson County,Clallam County,Douglas County,Stevens County,Columbia County,Mason County,Lincoln County,Klickitat County,Whitman County,Lewis County,Walla Walla County,San Juan County,Adams County,Okanogan County,Ferry County,Asotin County,Wahkiakum County,Pend Oreille County,Skamania County,Pacific County,Unassigned,Garfield County
2020-04-05,755-53-80,1095-51-189,2076-111-390,16-0-0,5196-451-1053,193-7-19,69-5-10,143-2-20,12-0-6,292-26-54,230-9-25,348-44-71,138-2-23,274-31-36,168-9-19,275-18-63,94-1-14,34-0-9,30-0-5,14-0-2,29-1-4,7-1-3,1-0-0,23-1-1,2-0-0,16-3-3,12-0-0,22-3-5,35-1-3,14-0-1,41-0-6,14-1-1,1-0-0,12-2-1,2-0-0,2-0-0,3-0-1,3-1-0,0-0-0,0-0-0
2020-04-12,998-63-96,1293-64-223,2278-121-429,16-0-0,5935-499-1191,271-12-30,94-5-10,157-3-20,12-0-6,323-30-59,283-11-36,415-46-81,147-2-23,286-32-39,169-9-20,322-23-71,106-1-15,44-0-10,30-0-5,14-0-2,67-1-6,9-1-3,1-0-0,26-1-3,2-0-0,16-3-4,15-0-0,23-3-5,48-2-3,15-0-1,43-0-6,17-2-1,1-0-0,16-2-1,2-0-0,2-0-0,3-0-1,3-1-0,0-0-0,0-0-0
2020-04-19,1286-73-124,1456-76-247,2474-131-458,17-0-0,6552-534-1316,348-18-40,120-5-10,168-3-20,12-0-6,365-34-67,351-13-40,517-61-96,150-2-24,298-32-42,172-10-20,345-27-76,113-1-16,49-0-11,30-0-5,18-0-2,80-2-6,9-1-4,1-0-0,28-1-4,2-0-0,18-3-4,16-0-0,28-3-7,77-3-7,15-0-1,47-0-6,23-2-1,1-0-0,19-2-1,2-0-0,2-0-0,3-0-1,4-1-0,0-0-0,0-0-0
2020-04-26,1693-87-148,1610-81-281,2660-144-487,20-0-1,7136-561-1396,421-21-46,139-6-12,181-4-21,13-0-6,387-35-69,393-13-44,598-68-109,153-2-24,321-33-44,177-10-22,365-28-77,118-1-17,63-0-11,30-0-5,19-0-2,103-3-10,9-1-4,1-0-0,31-1-4,2-0-0,21-3-4,16-0-0,29-3-7,95-3-7,15-0-1,49-0-6,24-2-2,1-0-0,19-2-1,2-0-0,2-0-0,3-0-1,6-1-0,0-0-0,0-0-0
2020-05-03,2218-102-179,1755-87-295,2774-148-519,50-0-1,7559-578-1459,461-25-54,164-6-13,192-4-21,15-0-6,406-36-70,419-14-47,642-70-119,155-2-24,337-34-46,181-11-23,387-28-80,123-1-17,68-0-11,30-0-6,19-0-2,123-3-10,9-1-4,1-0-0,32-1-4,2-0-0,24-3-4,16-0-0,30-3-7,102-3-7,15-0-1,50-0-6,35-2-4,1-0-0,19-2-1,4-0-0,2-0-0,3-0-1,9-1-0,0-0-0,0-0-0
2020-05-10,2870-115-211,1854-92-310,2873-156-535,69-0-1,7975-595-1514,520-27-62,199-6-14,199-4-21,15-0-7,450-37-74,430-14-49,710-72-126,160-2-24,357-34-46,182-11-23,408-28-82,126-1-17,73-0-11,30-0-6,23-0-2,144-3-10,10-1-4,1-0-0,35-1-4,2-0-0,25-3-4,18-0-0,34-3-8,108-3-7,15-0-1,52-0-6,45-2-4,1-0-0,19-2-1,4-0-0,2-0-0,3-0-1,9-1-0,1-0-0,0-0-0
2020-05-17,3553-121-260,1937-95-320,2969-165-551,85-0-1,8301-603-1563,614-28-65,242-6-14,217-4-22,17-0-7,558-39-81,432-14-50,811-75-133,161-2-25,378-35-47,183-11-23,477-29-88,132-1-17,75-0-11,30-0-6,25-0-2,167-3-11,12-1-4,1-0-0,37-1-4,2-0-0,26-3-4,20-0-0,34-3-9,110-3-8,15-0-1,57-0-6,46-2-4,1-0-0,20-2-1,4-0-0,3-0-0,3-0-1,9-1-0,7-0-0,0-0-0
2020-05-24,4322-133-322,2028-98-334,3029-167-565,91-0-2,8621-612-1601,767-29-76,262-6-17,241-5-22,18-0-7,657-40-86,445-14-50,931-77-149,165-2-25,403-35-48,184-11-24,553-30-91,160-3-20,78-0-11,30-0-6,27-0-2,178-3-11,13-1-4,1-0-0,39-1-4,2-0-0,29-3-4,20-0-0,36-3-9,113-3-8,15-0-1,74-0-6,55-2-5,1-0-0,20-2-1,4-0-0,3-0-0,3-0-1,9-1-0,12-0-0,0-0-0
2020-05-31,5294-144-364,2120-99-346,3110-170-574,92-0-2,8885-619-1631,1004-32-87,268-6-17,267-5-26,22-0-7,793-41-89,456-14-50,1118-80-168,177-2-25,433-35-48,184-11-24,611-30-92,186-5-26,113-0-13,31-0-6,28-0-3,181-4-11,14-1-4,1-0-0,41-1-5,2-0-0,43-3-4,27-0-0,36-3-9,123-3-8,16-0-1,88-0-6,67-2-5,1-0-0,21-2-1,4-0-0,3-0-0,3-0-1,10-1-0,12-0-0,0-0-0
2020-06-07,6154-174-427,2229-100-358,3222-175-587,98-0-2,9274-625-1658,1265-37-105,278-6-17,350-6-28,23-0-7,928-42-96,476-14-53,1375-80-184,188-2-27,470-36-48,187-11-24,652-31-98,206-6-33,138-0-14,32-0-6,32-0-3,194-4-11,16-1-4,3-0-0,44-1-5,2-0-0,53-3-4,29-0-0,41-3-9,136-3-8,16-0-1,100-0-7,79-2-5,1-0-0,21-2-1,4-0-0,3-0-0,3-0-1,12-1-0,13-0-0,0-0-0
